SchoolName,Religion,Level,YearTerm,Total
โรงเรียนปทุมธานี นันทมุนีบำรุง,พุทธ,M2,2565/1,193
โรงเรียนปทุมธานี นันทมุนีบำรุง,พุทธ,M3,2565/1,161
โรงเรียนปทุมธานี นันทมุนีบำรุง,พุทธ,M4,2565/1,144
โรงเรียนปทุมธานี นันทมุนีบำรุง,พุทธ,M5,2565/1,112
โรงเรียนปทุมธานี นันทมุนีบำรุง,พุทธ,M6,2565/1,96
โรงเรียนปทุมธานี นันทมุนีบำรุง,อิสลาม,P1,2565/1,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,อิสลาม,P2,2565/1,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,อิสลาม,P3,2565/1,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,อิสลาม,P4,2565/1,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,อิสลาม,P5,2565/1,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,อิสลาม,P6,2565/1,0
โรงเรียนปทุมธานี นันทมุนีบำรุง,อิสลาม,M2,2565/1,5
โรงเรียนปทุมธานี นันทมุนีบำรุง,อิสลาม,M3,2565/1,6
โรงเรียนปทุมธานี นันทมุนีบำรุง,อิสลาม,M4,2565/1,2
โรงเรียนปทุมธานี นันทมุนีบำรุง,อิสลาม,M5,2565/1,1
โรงเรียนปทุมธานี นันทมุนีบำรุง,อิสลาม,M6,2565/1,1
โรงเรียนหอวัง ปทุมธานี,คริสต์,P1,2565/1,0
โรงเรียนหอวัง ปทุมธานี,คริสต์,P2,2565/1,0
โรงเรียนหอวัง ปทุมธานี,คริสต์,P3,2565/1,0
โรงเรียนหอวัง ปทุมธานี,คริสต์,P4,2565/1,0
โรงเรียนหอวัง ปทุมธานี,คริสต์,P5,2565/1,0
โรงเรียนหอวัง ปทุมธานี,คริสต์,P6,2565/1,0
โรงเรียนหอวัง ปทุมธานี,คริสต์,M2,2565/1,2
โรงเรียนหอวัง ปทุมธานี,คริสต์,M3,2565/1,0
โรงเรียนหอวัง ปทุมธานี,คริสต์,M4,2565/1,3
โรงเรียนหอวัง ปทุมธานี,คริสต์,M5,2565/1,1
โรงเรียนหอวัง ปทุมธานี,คริสต์,M6,2565/1,2
โรงเรียนหอวัง ปทุมธานี,พุทธ,P1,2565/1,0
โรงเรียนหอวัง ปทุมธานี,พุทธ,P2,2565/1,0
โรงเรียนหอวัง ปทุมธานี,พุทธ,P3,2565/1,0
โรงเรียนหอวัง ปทุมธานี,พุทธ,P4,2565/1,0
โรงเรียนหอวัง ปทุมธานี,พุทธ,P5,2565/1,0
โรงเรียนหอวัง ปทุมธานี,พุทธ,P6,2565/1,0
โรงเรียนหอวัง ปทุมธานี,พุทธ,M2,2565/1,416
โรงเรียนหอวัง ปทุมธานี,พุทธ,M3,2565/1,421
โรงเรียนหอวัง ปทุมธานี,พุทธ,M4,2565/1,425
โรงเรียนหอวัง ปทุมธานี,พุทธ,M5,2565/1,500
โรงเรียนหอวัง ปทุมธานี,พุทธ,M6,2565/1,391
โรงเรียนหอวัง ปทุมธานี,อิสลาม,P1,2565/1,0
โรงเรียนหอวัง ปทุมธานี,อิสลาม,P2,2565/1,0
โรงเรียนหอวัง ปทุมธานี,อิสลาม,P3,2565/1,0
โรงเรียนหอวัง ปทุมธานี,อิสลาม,P4,2565/1,0
โรงเรียนหอวัง ปทุมธานี,อิสลาม,P5,2565/1,0
โรงเรียนหอวัง ปทุมธานี,อิสลาม,P6,2565/1,0
โรงเรียนหอวัง ปทุมธานี,อิสลาม,M2,2565/1,1
โรงเรียนหอวัง ปทุมธานี,อิสลาม,M3,2565/1,3
โรงเรียนหอวัง ปทุมธานี,อิสลาม,M4,2565/1,4
โรงเรียนหอวัง ปทุมธานี,อิสลาม,M5,2565/1,2
โรงเรียนหอวัง ปทุมธานี,อิสลาม,M6,2565/1,3
โรงเรียนหอวัง ปทุมธานี,อื่นๆ,P1,2565/1,0
โรงเรียนหอวัง ปทุมธานี,อื่นๆ,P2,2565/1,0
โรงเรียนหอวัง ปทุมธานี,อื่นๆ,P3,2565/1,0
โรงเรียนหอวัง ปทุมธานี,อื่นๆ,P4,2565/1,0
โรงเรียนหอวัง ปทุมธานี,อื่นๆ,P5,2565/1,0
โรงเรียนหอวัง ปทุมธานี,อื่นๆ,P6,2565/1,0
โรงเรียนหอวัง ปทุมธานี,อื่นๆ,M2,2565/1,0
โรงเรียนหอวัง ปทุมธานี,อื่นๆ,M3,2565/1,0
โรงเรียนหอวัง ปทุมธานี,อื่นๆ,M4,2565/1,0
โรงเรียนหอวัง ปทุมธานี,อื่นๆ,M5,2565/1,1
โรงเรียนหอวัง ปทุมธานี,อื่นๆ,M6,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,คริสต์,P1,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,คริสต์,P2,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,คริสต์,P3,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,คริสต์,P4,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,คริสต์,P5,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,คริสต์,P6,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,คริสต์,M2,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,คริสต์,M3,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,คริสต์,M4,2565/1,1
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,คริสต์,M5,2565/1,2
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,คริสต์,M6,2565/1,1
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,พุทธ,P1,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,พุทธ,P2,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,พุทธ,P3,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,พุทธ,P4,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,พุทธ,P5,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,พุทธ,P6,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,พุทธ,M2,2565/1,474
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,พุทธ,M3,2565/1,419
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,พุทธ,M4,2565/1,456
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,พุทธ,M5,2565/1,462
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,พุทธ,M6,2565/1,340
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อิสลาม,P1,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อิสลาม,P2,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อิสลาม,P3,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อิสลาม,P4,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อิสลาม,P5,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อิสลาม,P6,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อิสลาม,M2,2565/1,5
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อิสลาม,M3,2565/1,1
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อิสลาม,M4,2565/1,2
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อิสลาม,M5,2565/1,3
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อิสลาม,M6,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อื่นๆ,P1,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อื่นๆ,P2,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อื่นๆ,P3,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อื่นๆ,P4,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อื่นๆ,P5,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อื่นๆ,P6,2565/1,0
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อื่นๆ,M2,2565/1,1
โรงเรียนทีปังกรวิทยาพัฒน์ (มัธยมวัดหัตถสารเกษตร) ในพระราชูปถัมภ์ฯ,อื่นๆ,M3,2565/1,0
